                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84641,                0.63714,                    1.2,                0.91113,                0.76811,                 0.8295,                0.60845,                  1.075,                0.67071,                 1.4524,              0.0013466,              0.0013466,              0.0013466
                     36,                0.84265,                0.62136,                 1.1835,                0.90976,                0.79805,                0.83182,                0.60972,                 1.0781,                0.65329,                 1.4541,              0.0013268,              0.0013268,              0.0013268
                     37,                0.82127,                0.60028,                 1.1716,                0.88327,                 0.8013,                0.83438,                0.60509,                  1.092,                0.65754,                 1.4721,               0.001307,               0.001307,               0.001307
                     38,                0.82417,                0.60751,                 1.1793,                0.88659,                 0.8013,                0.84439,                0.60859,                 1.0641,                0.62761,                 1.4168,              0.0012872,              0.0012872,              0.0012872
                     39,                0.83297,                0.61158,                 1.1742,                0.91298,                  0.786,                0.83694,                0.60879,                  1.092,                 0.6345,                 1.4732,              0.0012674,              0.0012674,              0.0012674
                     40,                0.83045,                0.61553,                 1.1743,                 0.9189,                0.77502,                0.83613,                0.61166,                 1.0566,                0.63478,                  1.427,              0.0012476,              0.0012476,              0.0012476
                     41,                0.79665,                0.59267,                 1.1627,                0.89323,                0.79479,                0.83635,                0.59959,                 1.1078,                0.65871,                 1.4835,              0.0012278,              0.0012278,              0.0012278
                     42,                0.79347,                0.58313,                 1.1558,                0.92099,                0.77199,                0.83855,                0.60565,                 1.1015,                0.65406,                 1.4785,               0.001208,               0.001208,               0.001208
                     43,                0.80278,                0.59784,                 1.1664,                0.89034,                 0.8013,                0.83536,                0.61327,                 1.0662,                0.62341,                 1.4332,              0.0011882,              0.0011882,              0.0011882
                     44,                0.78502,                0.57907,                 1.1508,                0.88609,                0.80456,                0.83886,                0.60524,                  1.073,                0.64132,                 1.4339,              0.0011684,              0.0011684,              0.0011684
                     45,                0.80335,                0.58583,                 1.1659,                0.90777,                0.79153,                0.84566,                0.61453,                 1.0622,                0.63583,                 1.4324,              0.0011486,              0.0011486,              0.0011486
                     46,                0.78804,                0.56576,                 1.1493,                0.91096,                0.79153,                 0.8449,                0.62146,                 1.0556,                0.61829,                 1.4442,              0.0011288,              0.0011288,              0.0011288
                     47,                0.78378,                0.56187,                 1.1438,                0.90606,                0.78545,                 0.8353,                0.59946,                 1.1009,                0.62832,                 1.4861,               0.001109,               0.001109,               0.001109
                     48,                0.78066,                0.57376,                 1.1454,                0.90413,                0.79805,                0.83882,                0.60636,                 1.0781,                 0.6359,                 1.4309,              0.0010892,              0.0010892,              0.0010892
                     49,                0.76748,                0.55311,                 1.1383,                 0.9168,                0.78962,                 0.8396,                0.61061,                 1.0673,                0.63163,                  1.415,              0.0010694,              0.0010694,              0.0010694
